name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Doyle Wham,91a Rivington Street,London,,Hackney,https://www.doylewham.com/,100022933107,E09000012,Hoxton East & Shoreditch,E05009377,51.526368,-0.07853656,533390.1760999998,182577.76239999942
Eve Leibe,5 Dalston Lane,London,,Tower Hamlets,https://www.eveleibegallery.com/,6718547,E09000030,Bow East,E05009319,51.539715,-0.023450254,537171.0953000002,184163.76999999955
Galerie Max Hetzler,"First Floor, 41 Dover Street
",London,,Westminster,www.maxhetzler.com,See notes,E09000033,West End,E05013808,51.5081,-0.14205,529036.1617999999,180432.53639999963
Grove Collective,9b Battersea Square,London,,Wandsworth,https://grovecollective.co/,See notes,E09000032,St Mary's,E05014018,51.47539,-0.17529,526820.1979,176737.09750000015
Hollybush Gardens,1–2 Warner Yard,London,,Camden,https://hollybushgardens.co.uk/,5193849,E09000007,Holborn & Covent Garden,E05013662,51.523176,-0.11122059,531132.2205999997,182163.74960000068
Holtermann Fine Art,30 Cork Street,London,,Westminster,https://www.holtermannfineart.com/,10033572344,E09000033,West End,E05013808,51.510531,-0.14151718,529066.2676999997,180703.80509999953
Josh Lilley,40-46 Riding House Street,London,,Westminster,https://joshlilleygallery.com/,100023468646,E09000033,West End,E05013808,51.519056,-0.13928193,529197.2538000001,181655.73650000058
Lehmann Maupin,1 Cromwell Place,London,,Kensington and Chelsea,https://www.lehmannmaupin.com/,217021409,E09000020,Brompton & Hans Town,E05009389,51.494873,-0.17458248,526815.3262999998,178904.8716000002
LUNGLEY Gallery,2nd Floor,53 Great Portland Street,,Westminster,https://lungleygallery.com/,100023466648,E09000033,West End,E05013808,51.517477,-0.14176774,529029.2581000002,181475.76779999956
MAMOTH,3 Endsleigh Street,London,,Camden,https://www.mamoth.co.uk/,5020599,E09000007,Bloomsbury,E05013653,51.526241,-0.13080065,529765.2364999996,182469.7092000004
