Year,Month,Zone,WasteType,District,Name,Total
2021,March,3,Rest,12,Usera,"2182,86"
2021,March,3,Rest,13,Puente de Vallecas,"4243,28"
2021,March,3,Rest,17,Villaverde,"2652,68"
2021,March,3,Rest,18,Villa de Vallecas,"3508,1"
2021,March,3,Packaging,2,Arganzuela,"358,28"
2021,March,3,Packaging,11,Carabanchel,"788,7"
2021,March,3,Packaging,12,Usera,"405,4"
2021,March,3,Packaging,13,Puente de Vallecas,"833,14"
2021,March,3,Packaging,17,Villaverde,"490,14"
2021,March,3,Packaging,18,Villa de Vallecas,"330,52"
2021,March,3,Glass,2,Arganzuela,"281,04"
2021,March,3,Glass,11,Carabanchel,"300,38"
2021,March,3,Glass,12,Usera,"93,68"
2021,March,3,Glass,13,Puente de Vallecas,"255,08"
2021,March,3,Glass,17,Villaverde,"143,12"
2021,March,3,Glass,18,Villa de Vallecas,"119,48"
2021,March,3,Clinicians,12,Usera,"161,9"
2021,March,3,Clinicians,13,Puente de Vallecas,"35,88"
2021,March,3,Organic,2,Arganzuela,"666,46"
2021,March,3,Organic,11,Carabanchel,"1159,02"
2021,March,3,Organic,12,Usera,"524,02"
2021,March,3,Organic,13,Puente de Vallecas,"947,96"
