Any,Mes,Desc_Mes,Temperatura
1838,6,Juny,19.4
1838,7,Juliol,22.0
1838,8,Agost,21.7
1838,9,Setembre,18.3
1838,10,Octubre,14.9
1838,11,Novembre,12.9
1838,12,Desembre,7.6
1839,1,Gener,6.2
1839,2,Febrer,7.7
1839,3,Març,10.0
1839,4,Abril,11.4
1839,5,Maig,14.9
1839,6,Juny,19.5
1839,7,Juliol,21.4
1839,8,Agost,21.4
1839,9,Setembre,18.1
1839,10,Octubre,14.8
1839,11,Novembre,11.2
1839,12,Desembre,9.8
1840,1,Gener,9.0
1840,2,Febrer,7.7
1840,3,Març,6.5
1840,4,Abril,11.0
1840,5,Maig,15.7
1840,6,Juny,19.2
1840,7,Juliol,20.1
1840,8,Agost,22.1
1840,9,Setembre,18.8
1840,10,Octubre,15.2
1840,11,Novembre,11.8
1840,12,Desembre,7.5
1841,1,Gener,6.2
1841,2,Febrer,9.0
1841,3,Març,9.9
1841,4,Abril,11.8
1841,5,Maig,16.9
1841,6,Juny,18.2
1841,7,Juliol,19.6
1841,8,Agost,20.1
1841,9,Setembre,19.9
1841,10,Octubre,15.6
1841,11,Novembre,11.3
1841,12,Desembre,8.6
1842,1,Gener,5.2
1842,2,Febrer,8.4
1842,3,Març,10.6
1842,4,Abril,10.7
1842,5,Maig,15.8
1842,6,Juny,21.5
1842,7,Juliol,22.7
1842,8,Agost,21.8
1842,9,Setembre,18.3
1842,10,Octubre,13.8
1842,11,Novembre,10.8
1842,12,Desembre,9.0
1843,1,Gener,8.3
1843,2,Febrer,9.2
1843,3,Març,9.1
1843,4,Abril,12.3
1843,5,Maig,15.6
1843,6,Juny,17.6
1843,7,Juliol,19.5
1843,8,Agost,21.4
1843,9,Setembre,17.5
1843,10,Octubre,14.8
1843,11,Novembre,9.0
1843,12,Desembre,8.0
1844,1,Gener,8.0
1844,2,Febrer,7.6
1844,3,Març,9.6
1844,4,Abril,12.7
1844,5,Maig,14.2
1844,6,Juny,19.8
1844,7,Juliol,21.0
1844,8,Agost,20.9
1844,9,Setembre,19.5
1844,10,Octubre,16.5
1844,11,Novembre,11.9
1844,12,Desembre,7.1
1845,1,Gener,8.1
1845,2,Febrer,6.4
1845,3,Març,9.3
1845,4,Abril,11.5
1845,5,Maig,14.1
1845,6,Juny,17.8
1845,7,Juliol,21.5
1845,8,Agost,21.6
1845,9,Setembre,20.6
1845,10,Octubre,16.1
1845,11,Novembre,11.8
1845,12,Desembre,8.7
1846,1,Gener,9.3
1846,2,Febrer,8.3
1846,3,Març,12.2
1846,4,Abril,13.8
1846,5,Maig,15.9
1846,6,Juny,21.6
1846,7,Juliol,25.3
1846,8,Agost,24.2
1846,9,Setembre,21.6
1846,10,Octubre,16.5
1846,11,Novembre,12.7
1846,12,Desembre,6.4
1847,1,Gener,10.0
1847,2,Febrer,8.6
1847,3,Març,9.8
1847,4,Abril,12.9
1847,5,Maig,18.3
1847,6,Juny,20.1
1847,7,Juliol,22.9
1847,8,Agost,21.7
1847,9,Setembre,19.2
1847,10,Octubre,16.8
1847,11,Novembre,11.4
1847,12,Desembre,8.1
1848,1,Gener,3.4
1848,2,Febrer,10.0
1848,3,Març,9.9
1848,4,Abril,13.3
1848,5,Maig,16.7
1848,6,Juny,18.7
1848,7,Juliol,22.4
1848,8,Agost,22.2
1848,9,Setembre,19.0
1848,10,Octubre,15.9
1848,11,Novembre,8.7
1848,12,Desembre,9.6
1849,1,Gener,9.3
1849,2,Febrer,9.7
1849,3,Març,8.9
1849,4,Abril,10.0
1849,5,Maig,16.0
1849,6,Juny,21.5
1849,7,Juliol,22.9
1849,8,Agost,23.3
1849,9,Setembre,19.9
1849,10,Octubre,17.5
1849,11,Novembre,12.0
1849,12,Desembre,7.6
1850,1,Gener,7.2
1850,2,Febrer,10.8
1850,3,Març,8.6
1850,4,Abril,12.7
1850,5,Maig,13.9
1850,6,Juny,19.8
1850,7,Juliol,21.7
1850,8,Agost,21.5
1850,9,Setembre,18.1
1850,10,Octubre,14.3
1850,11,Novembre,11.4
1850,12,Desembre,8.5
1851,1,Gener,8.2
1851,2,Febrer,7.7
1851,3,Març,8.9
1851,4,Abril,12.3
1851,5,Maig,12.7
1851,6,Juny,17.9
1851,7,Juliol,20.4
1851,8,Agost,22.8
1851,9,Setembre,18.0
1851,10,Octubre,15.5
1851,11,Novembre,7.9
1851,12,Desembre,6.7
1852,1,Gener,8.6
1852,2,Febrer,6.9
1852,3,Març,9.4
1852,4,Abril,12.2
1852,5,Maig,14.8
1852,6,Juny,18.4
1852,7,Juliol,22.1
1852,8,Agost,21.4
1852,9,Setembre,19.4
1852,10,Octubre,16.0
1852,11,Novembre,13.7
1852,12,Desembre,10.2
1853,1,Gener,9.0
1853,2,Febrer,4.5
1853,3,Març,6.8
1853,4,Abril,11.8
1853,5,Maig,13.5
1853,6,Juny,15.7
1853,7,Juliol,21.4
1853,8,Agost,22.5
1853,9,Setembre,18.3
1853,10,Octubre,15.5
1853,11,Novembre,11.0
1853,12,Desembre,7.2
1854,1,Gener,7.8
1854,2,Febrer,6.7
1854,3,Març,9.5
1854,4,Abril,11.7
1854,5,Maig,14.6
1854,6,Juny,16.9
1854,7,Juliol,20.6
1854,8,Agost,21.2
1854,9,Setembre,20.1
1854,10,Octubre,16.3
1854,11,Novembre,9.4
1854,12,Desembre,7.0
1855,1,Gener,6.0
1855,2,Febrer,9.5
1855,3,Març,9.2
1855,4,Abril,11.5
1855,5,Maig,13.1
1855,6,Juny,16.6
1855,7,Juliol,21.4
1855,8,Agost,21.9
1855,9,Setembre,20.6
1855,10,Octubre,17.0
1855,11,Novembre,10.9
1855,12,Desembre,6.7
1856,1,Gener,10.6
1856,2,Febrer,8.3
1856,3,Març,10.7
1856,4,Abril,12.5
1856,5,Maig,14.8
1856,6,Juny,18.2
1856,7,Juliol,21.5
1856,8,Agost,23.2
1856,9,Setembre,18.8
1856,10,Octubre,14.8
1856,11,Novembre,9.4
1856,12,Desembre,8.2
1857,1,Gener,5.3
1857,2,Febrer,7.9
1857,3,Març,10.5
1857,4,Abril,11.9
1857,5,Maig,14.4
1857,6,Juny,18.4
1857,7,Juliol,22.0
1857,8,Agost,21.6
1857,9,Setembre,20.1
1857,10,Octubre,15.5
1857,11,Novembre,12.3
1857,12,Desembre,8.5
1858,1,Gener,5.2
1858,2,Febrer,9.0
1858,3,Març,10.1
1858,4,Abril,14.4
1858,5,Maig,15.2
1858,6,Juny,21.4
1858,7,Juliol,20.6
1858,8,Agost,21.7
1858,9,Setembre,20.9
1858,10,Octubre,16.3
1858,11,Novembre,11.6
1858,12,Desembre,8.2
1859,1,Gener,6.2
1859,2,Febrer,8.5
1859,3,Març,10.6
1859,4,Abril,14.0
1859,5,Maig,16.0
1859,6,Juny,18.7
1859,7,Juliol,24.2
1859,8,Agost,23.6
1859,9,Setembre,20.5
1859,10,Octubre,16.9
1859,11,Novembre,11.7
1859,12,Desembre,6.7
1860,1,Gener,9.3
1860,2,Febrer,5.4
1860,3,Març,9.5
1860,4,Abril,10.8
1860,5,Maig,15.6
1860,6,Juny,18.3
1860,7,Juliol,20.3
1860,8,Agost,21.1
1860,9,Setembre,18.7
1860,10,Octubre,15.8
1860,11,Novembre,11.5
1860,12,Desembre,8.5
1861,1,Gener,8.0
1861,2,Febrer,9.2
1861,3,Març,10.8
1861,4,Abril,11.9
1861,5,Maig,15.7
1861,6,Juny,18.7
1861,7,Juliol,22.0
1861,8,Agost,23.7
