name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Deaton Theatre,Forest School, College Place,,Waltham Forest,https://www.forest.org.uk/senior-school/news-events/facility-hire/,100022574448,E09000031,Upper Walthamstow,E05013900,51.58609345,0.007758792,539193.7467999998,189380.11370000057
The Yaa Centre,1 Chippenham Mews,,,Westminster,NA,100022735260,E09000033,Harrow Road,E05013795,51.52406349,-0.196666428,525202.3744000001,182112.92090000026
Churchill Theatre,High Street, Bromley,,Bromley,https://churchilltheatre.co.uk/,100023034034,E09000006,Bromley Town,E05013991,51.40428912,0.012855665,540102.8403000003,169173.19779999927
Bromley Little Theatre,North Street, Bromley,,Bromley,http://bromleylittletheatre.org/,100022887041,E09000006,Bromley Town,E05013991,51.40821467,0.013632498,540144.8650000002,169611.1992000006
Theatre 62,Wickham Theatre Centre, Corkscrew Hill, West Wickham,Bromley,https://theatre62.wordpress.com/,100022897636,E09000006,West Wickham,E05014008,51.37342259,-0.011943755,538470.9907999998,165693.7064999994
Ashcroft Theatre (Fairfield Halls),Park Lane,,,Croydon,https://en.wikipedia.org/wiki/Ashcroft_Theatre,100022917675,E09000008,Fairfield,E05011468,51.37305115,-0.097382917,532525.7984999996,165494.67669999972
Geoffrey Whitworth Theatre,Beech Walk, Crayford,,Bexley,http://www.thegwt.org.uk/,100022918313,E09000004,Crayford,E05011222,51.45605783,0.188377569,552138.3113000002,175279.55069999956
Nursery Theatre,2  Finsbury Avenue ,,,Islington,http://thenurserytheatre.com/theatre/,100022933575,E09000019,Bunhill,E05013699,51.51992929,-0.086814449,532834.7143999999,181846.70830000006
Winterflood Theatre,City of London School, Queen Victoria Street,,City of London,https://www.cityoflondonschool.org.uk/school-life/drama/winterflood-theatre,100022936607,E09000001,Castle Baynard,E05009297,51.51153824,-0.100945095,531878.6303000003,180888.07230000012
CentrE17,1 Church Hill,,,Waltham Forest,https://thecentre17.com/,100022978993,E09000031,High Street,E05013891,51.58584388,-0.019990926,537272.1358000003,189299.88979999907
"Mirth, Marvel and Maud",186 Hoe St, Walthamstow,,Waltham Forest,http://mirthmarvelandmaud.com/,100022979833,E09000031,High Street,E05013891,51.58700167,-0.022018906,537128.1708000004,189424.83909999952
Redbridge Drama Centre,Churchfields, South Woodford,,Redbridge,http://www.redbridgedramacentre.co.uk/,100022987836,E09000026,Churchfields,E05011238,51.5987895,0.025399644,540376.7187000001,190825.68840000033
Hackney Empire,291 Mare St,,,Hackney,https://hackneyempire.co.uk/,100023014084,E09000012,Hackney Central,E05009372,51.54657726,-0.057085172,534818.4540999997,184864.4327000007
Chats Palace,42-44 Brooksby's Road,,,Hackney,https://chatspalace.com/,100023020798,E09000012,Homerton,E05009376,51.5506371,-0.044378545,535687.3761,185339.35950000025
Winston Churchill Theatre,Manor Farm, Pinn Way, Ruislip,Hillingdon,http://www.hillingdontheatres.uk/index.php/hire/our-spaces/wct/,100023034034,E09000017,Ruislip,E05013577,51.57944316,-0.430318955,508861.66309999954,187898.0264999997
Kenneth More Theatre,Oakfield Road, Ilford,,Redbridge,https://www.kmtheatre.co.uk/,100023043000,E09000026,Ilford Town,E05011246,51.56052556,0.071015406,543656.3244000003,186659.21189999953
the cornerHOUSE Community Arts Centre,116 Douglas Rd, Surbiton,,Kingston upon Thames,http://www.thech.org/,100023066827,E09000021,Tolworth,E05013945,51.38140612,-0.295613257,518707.5692999996,166084.55739999935
Cockpit Theatre,Gateforth St, Marylebone,,Westminster,http://thecockpit.org.uk/,100023121790,E09000033,Church Street,E05013794,51.52495745,-0.170869276,526989.4179999996,182256.7444000002
tiol Centre for Circus Arts ,Coronet Street,,,Hackney,NA,100023135567,E09000012,Hoxton West,E05009378,51.52803008,-0.083867984,533015.5221999995,182752.8811000008
Hoxton Hall,130 Hoxton St,,,Hackney,https://www.hoxtonhall.co.uk/,100023135707,E09000012,Hoxton East & Shoreditch,E05009377,51.53232501,-0.081609167,533159.6687000003,183234.59500000067
Tower Theatre ,16 Northwold Road,,,Hackney,http://www.towertheatre.org.uk/relo.htm,100023160491,E09000012,Stoke Newington,E05009385,51.56332345,-0.073542349,533628.4044000003,186696.42960000038
Jacksons Lane,Jacksons Lane,269a Archway Road ,,Haringey,https://www.jacksonslane.org.uk/,100023196841,E09000014,Highgate,E05013592,51.57761261,-0.147975292,528429.2366000004,188152.07919999957
Arthouse,159A Tottenham Lane,,,Haringey,NA,100023208418,E09000014,Hornsey,E05013593,51.58233814,-0.12154867,530246.7949999999,188724.28160000034
Queen's Theatre Hornchurch ,Billet Ln, Hornchurch,,Havering,http://www.queens-theatre.co.uk/,100023213219,E09000016,St Andrew's,E05013982,51.56571994,0.217790544,553812.0571999997,187535.0850000009
Young Vic,66 The Cut, Waterloo,,Lambeth,https://www.youngvic.org/,100023226258,E09000022,Waterloo & South Bank,E05014118,51.50378941,-0.108874737,531350.6857000003,180012.15410000086
Blackheath Halls,23 Lee Rd, Blackheath,,Lewisham,NA,100023269695,E09000023,Blackheath,E05013715,51.46530269,0.007909575,539572.8855999997,175948.39939999953
The Brockley Jack Theatre,410 Brockley Rd,,,Lewisham,http://www.brockleyjack.co.uk/,100023271625,E09000023,Crofton Park,E05013718,51.45394088,-0.040139485,536269.2937000003,174594.57459999993
Bob Hope Theatre,2 Wythfield Rd, Eltham,,Greenwich,http://www.bobhopetheatre.co.uk/,100023284254,E09000011,Eltham Town & Avery Hill,E05014079,51.4500002,0.048885259,542466.5214,174325.59039999917
